Model,Release Date,Release Year,Model ID,Device Type,Year,Month,Company,Company_real,Company ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Mass (grams),Pixel Density (per inch),Mass New,Depth New,principal component 1,principal component 2,Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams)
Psion Series 3c,1996-09-01,1996.666667,23,Phone,1996,9,Psion,Zebra Technologies,152,0.000946074,1.54E-05,0.003385544,0.258992806,0.154471545,0.063492063,0.046336207,0.129984856,0.953663793,0.898011546,-0.395365955,0.228311646,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207
Psion Siena,1996-09-01,1996.666667,24,Phone,1996,9,Psion,Zebra Technologies,152,0.000457778,1.54E-05,0.003385544,0.079136691,0.056910569,0.063492063,0.026508621,0.152195861,0.973491379,0.91725465,-0.447994623,0.068942935,0.39154161,0.098360656,0.08274535,0.035115517,0.026508621
Ericsson MC12,1996-12-01,1996.916667,25,Phone,1996,12,Ericsson,Ericsson,46,0.001922666,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.082327586,0.150429076,0.917672414,0.859910199,-0.331362062,0.302579444,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586
Hewlett-Packard Palmtop 300LX,1996-12-01,1996.916667,26,Phone,1996,12,Hewlett-Packard,Hewlett-Packard,58,0.000946074,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.079741379,0.150429076,0.920258621,0.859910199,-0.331954795,0.301514618,0.481036835,0.184016393,0.140089801,0.093248828,0.079741379
Hewlett-Packard Palmtop 320LX,1996-12-01,1996.916667,27,Phone,1996,12,Hewlett-Packard,Hewlett-Packard,58,0.001922666,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.082327586,0.150429076,0.917672414,0.859910199,-0.331362062,0.302579444,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586
Hewlett-Packard 200LX 4MB RAM (HP Felix),1997-01-01,1997,28,Phone,1997,1,Hewlett-Packard,Hewlett-Packard,58,0.001922666,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.054310345,0.224886421,0.945689655,0.872354073,-0.341143678,0.187332658,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345
NEC MobilePro 200,1997-01-01,1997,29,Phone,1997,1,NEC,NEC Corporationæ,91,0.000946074,6.45E-05,0.016051319,0.244604317,0.154471545,0.103174603,0.070043103,0.152700656,0.929956897,0.870429763,-0.371081665,0.211821982,0.459754434,0.18852459,0.129570237,0.084170182,0.070043103
Sharp Mobilon HC-4000,1997-01-01,1997,30,Phone,1997,1,Sharp,Sharp Corporation,115,0.003875851,6.45E-05,0.03642461,0.345323741,0.219512195,0.103174603,0.075431034,0.15345785,0.924568966,0.869788326,-0.322560482,0.29070451,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034
Casio Cassiopeia A-10,1997-02-01,1997.083333,31,Phone,1997,2,Casio,Casio,26,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.02112069,0.204442201,0.97887931,0.869146889,-0.35506859,0.162090883,0.459754434,0.176229508,0.130853111,0.02580134,0.02112069
Apple Newton eMate 300,1997-03-01,1997.166667,32,Phone,1997,3,Apple,Apple Inc,10,0.00143437,0.000130058,0.012049495,0.366906475,0.154471545,0.142857143,0.377155172,0.101716305,0.622844828,0.697241822,-0.350389108,0.449647955,0.814461119,0.987704918,0.302758178,1,0.377155172
Apple Newton MessagePad 2000,1997-03-01,1997.166667,33,Tab,1997,3,Apple,Apple Inc,10,0.002410962,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.125,0.126451287,0.875,0.862732521,-0.298175925,0.244969191,0.306139154,0.661065574,0.137267479,0.13755005,0.125
U.S. Robotics PalmPilot Personal,1997-03-01,1997.166667,34,Phone,1997,3,U.S.,Palm,102,0.00021363,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473421141,0.128979561,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
U.S. Robotics PalmPilot Professional,1997-03-01,1997.166667,35,Phone,1997,3,U.S.,Palm,102,0.000457778,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473292817,0.128977707,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
Casio Cassiopeia A-11,1997-05-01,1997.333333,36,Phone,1997,5,Casio,Casio,26,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.068965517,0.152700656,0.931034483,0.869146889,-0.36883058,0.210958493,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517
Sharp Mobilon HC-4100,1997-05-01,1997.333333,37,Phone,1997,5,Sharp,Sharp Corporation,115,0.005829035,0.000130058,0.03642461,0.345323741,0.219512195,0.103174603,0.075431034,0.15345785,0.924568966,0.869788326,-0.32151203,0.29071051,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034
Compaq PC Companion C120 / PC Companion C120+,1997-06-01,1997.416667,38,Phone,1997,6,Compaq,Compaq,32,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.028017241,0.152195861,0.971982759,0.869146889,-0.370236936,0.194264569,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241
Hewlett-Packard Palmtop 360LX,1997-06-01,1997.416667,39,Phone,1997,6,Hewlett-Packard,Hewlett-Packard,58,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.085560345,0.150429076,0.914439655,0.859910199,-0.325959598,0.302741311,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345
Psion Series 5,1997-06-01,1997.416667,40,Phone,1997,6,Psion,Zebra Technologies,152,0.001922666,9.73E-05,0.008763996,0.28057554,0.219512195,0.103174603,0.063362069,0.19661787,0.936637931,0.891597178,-0.337687656,0.22566202,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069
Psion Series 5 8MB,1997-06-01,1997.416667,41,Phone,1997,6,Psion,Zebra Technologies,152,0.003875851,9.73E-05,0.008763996,0.28057554,0.219512195,0.103174603,0.063362069,0.19661787,0.936637931,0.891597178,-0.336661064,0.225647191,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069
IBM WorkPad 10u,1997-07-01,1997.5,42,Tab,1997,7,IBM,IBM,65,0.000457778,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473292817,0.128977707,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
IBM WorkPad 20X,1997-07-01,1997.5,43,Tab,1997,7,IBM,IBM,65,0.000946074,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473036169,0.128974,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
NEC MobilePro 400,1997-07-01,1997.5,44,Phone,1997,7,NEC,NEC Corporationæ,91,0.001922666,0.000130058,0.016051319,0.26618705,0.154471545,0.103174603,0.070043103,0.140837961,0.929956897,0.870429763,-0.369618794,0.231181124,0.396998636,0.168032787,0.129570237,0.067597371,0.070043103
Philips Velo 1,1997-08-01,1997.583333,45,Phone,1997,8,Philips,Philips,105,0.001922666,0.000130058,0.017984201,0.244604317,0.154471545,0.103174603,0.067672414,0.152700656,0.932327586,0.833867864,-0.372105738,0.213733224,0.451568895,0.18852459,0.166132136,0.102520181,0.067672414
Casio Cassiopeia A-11 Plus,1997-09-01,1997.666667,46,Phone,1997,9,Casio,Casio,26,0.002899258,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.068965517,0.152700656,0.931034483,0.869146889,-0.368317284,0.210951078,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517
Hewlett-Packard Palmtop 620LX,1997-09-01,1997.666667,47,Phone,1997,9,Hewlett-Packard,Hewlett-Packard,58,0.00778222,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.113362069,0.150429076,0.886637931,0.808210391,-0.322621703,0.317602642,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069
Hewlett-Packard Palmtop 660LX,1997-09-01,1997.666667,48,Phone,1997,9,Hewlett-Packard,Hewlett-Packard,58,0.015594958,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.113362069,0.150429076,0.886637931,0.808210391,-0.318515336,0.317543323,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069
Geofox One 4MB,1997-10-01,1997.75,49,Phone,1997,10,Geofox,Geofox Mobile,52,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.07112069,0.154719838,0.92887931,0.910840282,-0.315800237,0.295852954,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069
NEC MobilePro 450,1997-10-01,1997.75,50,Phone,1997,10,NEC,NEC Corporationæ,91,0.001922666,0.000130058,0.016051319,0.244604317,0.154471545,0.103174603,0.070258621,0.152700656,0.929741379,0.870429763,-0.370539889,0.211924751,0.459754434,0.18852459,0.129570237,0.084170182,0.070258621
Nokia 9000i Communicator,1997-10-01,1997.75,51,Phone,1997,10,Nokia,Nokia Corporation,92,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.07262931,0.261736497,0.92737069,0.795381655,-0.347069027,0.157168727,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931
Apple Newton MessagePad 2100,1997-11-01,1997.833333,52,Tab,1997,11,Apple,Apple Inc,10,0.003875851,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.125,0.126451287,0.875,0.860166774,-0.297582305,0.245180385,0.306139154,0.661065574,0.139833226,0.13969124,0.125
Compaq PC Companion C140,1997-12-01,1997.916667,53,Phone,1997,12,Compaq,Compaq,32,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.028017241,0.152195861,0.971982759,0.869146889,-0.370236936,0.194264569,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241
LG Phenom,1997-12-01,1997.916667,54,Phone,1997,12,LG,LG Electronics,77,0.003875851,0.000261141,0.03956204,0.388489209,0.219512195,0.103174603,0.162931034,0.099697123,0.837068966,0.8466966,-0.326714805,0.38412268,0.519781719,0.245901639,0.1533034,0.187632486,0.162931034
NEC MobilePro 700,1998-01-01,1998,55,Phone,1998,1,NEC,NEC Corporationæ,91,0.003875851,0.000261141,0.02655611,0.45323741,0.219512195,0.103174603,0.13362069,0.103735487,0.86637931,0.8466966,-0.32007183,0.409707343,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069
Sharp Mobilon HC-4200,1998-01-01,1998,56,Phone,1998,1,Sharp,Sharp Corporation,115,0.005829035,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.075431034,0.15345785,0.924568966,0.869788326,-0.32146832,0.290752159,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034
LG Phenom Ultra H-120 CW,1998-02-01,1998.083333,57,Phone,1998,2,LG,LG Electronics,77,0.00778222,0.000195599,0.049566602,0.388489209,0.219512195,0.103174603,0.099784483,0.131499243,0.900215517,0.878768441,-0.309745609,0.3357821,0.623465211,0.405737705,0.121231559,0.128492816,0.099784483
3Com Palm III,1998-03-01,1998.166667,58,Phone,1998,3,3Com,3Com,1,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473030734,0.128979179,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
Symbol SPT 1500,1998-03-01,1998.166667,59,Phone,1998,3,Symbol,Zebra Technologies,152,0.000946074,3.17E-05,0.007547442,0.107913669,0.024390244,0.063492063,0.02387931,0.064866229,0.97612069,0.923669019,-0.472575009,0.122173877,0.203274216,0.37295082,0.076330981,0.034259041,0.02387931
Hitachi HPW-200EC,1998-04-01,1998.25,60,Phone,1998,4,Hitachi,"Hitachi, Ltd",59,0.00778222,0.000195599,0.049566602,0.45323741,0.219512195,0.103174603,0.169827586,0.103735487,0.830172414,0.833867864,-0.305593388,0.422359615,0.672578445,0.340163934,0.166132136,0.219386335,0.169827586
Hitachi HPW-20E8M,1998-04-01,1998.25,61,Phone,1998,4,Hitachi,"Hitachi, Ltd",59,0.003875851,0.000261141,0.03956204,0.381294964,0.219512195,0.103174603,0.085344828,0.134023221,0.914655172,0.859525337,-0.31958473,0.327354235,0.508867667,0.241803279,0.140474663,0.115517204,0.085344828
Ericsson MC16,1998-06-01,1998.416667,62,Phone,1998,6,Ericsson,Ericsson,46,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.085560345,0.150429076,0.914439655,0.859910199,-0.325959598,0.302741311,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345
IBM WorkPad 22X,1998-06-01,1998.416667,63,Tab,1998,6,IBM,IBM,65,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473030734,0.128979179,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
NEC MobilePro 750,1998-06-01,1998.416667,64,Phone,1998,6,NEC,NEC Corporationæ,91,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.13362069,0.103735487,0.86637931,0.8466966,-0.311113606,0.407744524,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069
NEC MobilePro 750C,1998-06-01,1998.416667,65,Phone,1998,6,NEC,NEC Corporationæ,91,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.171767241,0.103735487,0.828232759,0.808210391,-0.312586758,0.426894833,0.648021828,0.360655738,0.191789609,0.248228165,0.171767241
Sharp Mobilon HC-4500,1998-06-01,1998.416667,66,Phone,1998,6,Sharp,Sharp Corporation,115,0.00778222,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.09375,0.15345785,0.90625,0.849262348,-0.321289634,0.300110905,0.489768076,0.18852459,0.150737652,0.102541593,0.09375
Casio Cassiopeia A-20,1998-07-01,1998.5,67,Phone,1998,7,Casio,Casio,26,0.003875851,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.068965517,0.152700656,0.931034483,0.87491982,-0.320941761,0.287558612,0.487039563,0.186065574,0.12508018,0.081921932,0.068965517
Nokia 9000il Communicator,1998-07-01,1998.5,68,Phone,1998,7,Nokia,Nokia Corporation,92,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.07262931,0.261736497,0.92737069,0.795381655,-0.347069027,0.157168727,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931
Philips Velo 500,1998-07-01,1998.5,69,Phone,1998,7,Philips,Philips,105,0.00778222,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.078663793,0.16708733,0.921336207,0.8466966,-0.32203192,0.273615633,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793
Philips Velo 500 24MB,1998-07-01,1998.5,70,Phone,1998,7,Philips,Philips,105,0.011688589,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.078663793,0.16708733,0.921336207,0.8466966,-0.319978736,0.273585974,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793
Casio Cassiopeia E-10,1998-09-01,1998.666667,71,Phone,1998,9,Casio,Casio,26,0.003875851,6.45E-05,0.024054969,0.129496403,0.056910569,0.142857143,0.047413793,0.433619384,0.952586207,0.910840282,-0.311908253,-0.06448053,0.211459754,0.31147541,0.089159718,0.056955656,0.047413793
Compaq PC Companion C2010c / PC Companion C2015c,1998-09-01,1998.666667,72,Phone,1998,9,Compaq,Compaq,32,0.009735405,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.068965517,0.152700656,0.931034483,0.77613855,-0.325934616,0.296486724,0.489768076,0.209016393,0.22386145,0.081921932,0.068965517
Compaq PC Companion C800 / PC Companion C810,1998-09-01,1998.666667,73,Phone,1998,9,Compaq,Compaq,32,0.003875851,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.068965517,0.152700656,0.931034483,0.821039128,-0.325928733,0.292640672,0.489768076,0.209016393,0.178960872,0.081921932,0.068965517
Compaq PC Companion C810c,1998-09-01,1998.666667,74,Phone,1998,9,Compaq,Compaq,32,0.00778222,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.079741379,0.155224634,0.920258621,0.77613855,-0.325887216,0.299553072,0.489768076,0.209016393,0.22386145,0.153844507,0.079741379
Nokia 9110 Communicator,1998-09-01,1998.666667,75,Phone,1998,9,Nokia,Nokia Corporation,92,0.001922666,6.45E-05,0.016051319,0.201438849,0.219512195,0.083333333,0.041594828,0.261736497,0.958405172,0.865939705,-0.340783176,0.137518954,0.413369714,0.028688525,0.134060295,0.041710383,0.041594828
Philips Nino 300 / Nino 301 / Nino 350,1998-09-01,1998.666667,76,Phone,1998,9,Philips,Philips,105,0.001922666,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.035991379,0.157748612,0.964008621,0.91725465,-0.384181742,0.091575888,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379
Sharp Mobilon HC-4600,1998-09-01,1998.666667,77,Phone,1998,9,Sharp,Sharp Corporation,115,0.00778222,0.000261141,0.036060444,0.345323741,0.219512195,0.103174603,0.09375,0.15345785,0.90625,0.849262348,-0.321482976,0.300165034,0.489768076,0.18852459,0.150737652,0.102541593,0.09375
Geofox One 16MB,1998-10-01,1998.75,78,Phone,1998,10,Geofox,Geofox Mobile,52,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.07112069,0.154719838,0.92887931,0.910840282,-0.315800237,0.295852954,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069
LG Phenom Express,1998-10-01,1998.75,79,Phone,1998,10,LG,LG Electronics,77,0.015594958,0.000261141,0.049566602,0.460431655,0.219512195,0.103174603,0.170258621,0.131499243,0.829741379,0.872354073,-0.289160757,0.407817326,0.626193724,0.413934426,0.127645927,0.176733829,0.170258621
Psion Series 3mx,1998-10-01,1998.75,80,Phone,1998,10,Psion,Zebra Technologies,152,0.000946074,3.17E-05,0.013374099,0.258992806,0.154471545,0.063492063,0.046336207,0.129984856,0.953663793,0.898011546,-0.390057449,0.226832158,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207
Sharp Mobilon TriPad PV-6000,1998-10-01,1998.75,81,Tab,1998,10,Sharp,Sharp Corporation,115,0.00778222,0.000261141,0.041562953,0.553956835,0.219512195,0.222222222,0.299784483,0.103483089,0.700215517,0.878768441,-0.237280948,0.516011786,0.773533424,0.725409836,0.121231559,0.341391345,0.299784483
Casio Cassiopeia A-21,1998-11-01,1998.833333,82,Phone,1998,11,Casio,Casio,26,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.079956897,0.15345785,0.920043103,0.87491982,-0.318328068,0.291661132,0.487039563,0.186065574,0.12508018,0.08628996,0.079956897
Casio Cassiopeia E-11,1998-11-01,1998.833333,83,Phone,1998,11,Casio,Casio,26,0.003875851,0.000130058,0.034059531,0.129496403,0.056910569,0.142857143,0.042025862,0.154972236,0.957974138,0.910840282,-0.388767935,0.088162758,0.211459754,0.31147541,0.089159718,0.037535062,0.042025862
Samsung eGO-note,1998-11-01,1998.833333,84,Phone,1998,11,Samsung,Samsung,113,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.218965517,0.134528016,0.781034483,0.859525337,-0.237675137,0.412647855,0.601637108,0.606557377,0.140474663,0.258655761,0.218965517
Sharp Mobilon Pro PV-5000,1998-11-01,1998.833333,85,Phone,1998,11,Sharp,Sharp Corporation,115,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.25237069,0.134528016,0.74762931,0.860166774,-0.236604992,0.42644206,0.626739427,0.600409836,0.139833226,0.266406869,0.25237069
Vadem Clio C-1000,1998-11-01,1998.833333,86,Phone,1998,11,Vadem,Vadem Ltd,142,0.00778222,0.000392223,0.041562953,0.553956835,0.219512195,0.222222222,0.299784483,0.101716305,0.700215517,0.872354073,-0.23819815,0.517600534,0.768076398,0.717213115,0.127645927,0.349699163,0.299784483
Compaq Aero 1500 / 1520,1998-12-01,1998.916667,87,Phone,1998,12,Compaq,Compaq,32,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.05387931,0.21251893,0.94612069,0.95574086,-0.358648844,0.077985672,0.19781719,0.336065574,0.04425914,0.067875725,0.05387931
